PC_TIME,TIME,TIME_TICK,BPOGX,BPOGY,BPOGV
1784418641.1474,495.24579,5358704879,0.41169,0.10745,1
1784418641.1538,495.25223,5358769172,0.41805,0.11631,1
1784418641.1608,495.25925,5358839296,0.41824,0.11977,1
1784418641.1674,495.26587,5358905585,0.40119,0.11920,1
1784418641.1742,495.27258,5358972681,0.40661,0.12662,1
1784418641.1810,495.27939,5359040826,0.40845,0.13945,1
1784418641.1876,495.28598,5359106764,0.41143,0.13643,1
1784418641.1944,495.29279,5359174734,0.40537,0.14492,1
1784418641.2010,495.29938,5359240736,0.40627,0.14873,1
1784418641.2078,495.30618,5359308791,0.39669,0.14767,1
1784418641.2141,495.31256,5359372375,0.39597,0.13732,1
1784418641.2211,495.31952,5359442064,0.39406,0.12483,1
1784418641.2277,495.32617,5359508565,0.39650,0.11574,1
1784418641.2346,495.33304,5359577281,0.39414,0.10718,1
1784418641.2411,495.33957,5359642558,0.39306,0.10287,1
1784418641.2480,495.34641,5359710864,0.38704,0.10469,1
1784418641.2543,495.35272,5359774280,0.38721,0.11567,1
1784418641.2613,495.35968,5359843561,0.38683,0.11216,1
1784418641.2681,495.36652,5359912092,0.38702,0.10017,1
1784418641.2747,495.37311,5359977895,0.38594,0.08376,1
1784418641.2815,495.37991,5360046042,0.38299,0.06699,1
1784418641.2881,495.38651,5360111974,0.38199,0.05659,1
1784418641.2947,495.39316,5360178450,0.38226,0.06234,1
1784418641.3014,495.39987,5360245477,0.38226,0.06234,1
1784418641.3082,495.40665,5360313396,0.38928,0.06165,1
1784418641.3149,495.41330,5360380024,0.38891,0.06430,1
1784418641.3213,495.41971,5360444074,0.38970,0.06687,1
1784418641.3282,495.42667,5360513470,0.37887,0.08345,1
1784418641.3350,495.43338,5360580787,0.37417,0.07226,1
1784418641.3414,495.43979,5360644923,0.37434,0.07496,1
1784418641.3485,495.44690,5360715833,0.38663,0.07493,1
1784418641.3550,495.45343,5360781189,0.39853,0.08511,1
1784418641.3618,495.46024,5360849232,0.40022,0.09536,1
1784418641.3682,495.46661,5360912919,0.39135,0.09545,1
1784418641.3751,495.47357,5360982520,0.39206,0.09515,1
1784418641.3816,495.47998,5361046837,0.39071,0.08729,1
1784418641.3885,495.48691,5361116079,0.37721,0.07649,1
1784418641.3953,495.49377,5361184785,0.38638,0.06564,1
1784418641.4020,495.50046,5361251594,0.38686,0.07017,1
1784418641.4086,495.50705,5361317349,0.40382,0.08589,1
1784418641.4154,495.51385,5361385358,0.40472,0.10272,1
1784418641.4222,495.52060,5361452855,0.40748,0.11968,1
1784418641.4288,495.52719,5361518881,0.40611,0.12413,1
1784418641.4354,495.53378,5361584874,0.40634,0.12042,1
1784418641.4421,495.54053,5361652033,0.40584,0.11584,1
1784418641.4486,495.54700,5361716892,0.37374,0.12543,1
1784418641.4555,495.55389,5361785856,0.37418,0.11124,1
1784418641.4622,495.56067,5361853651,0.37355,0.11089,1
1784418641.4687,495.56708,5361917627,0.37804,0.12656,1
1784418641.4756,495.57401,5361987014,0.37828,0.14449,1
1784418641.4823,495.58072,5362053975,0.38153,0.16110,1
1784418641.4890,495.58740,5362120899,0.38389,0.16624,1
1784418641.4958,495.59421,5362189059,0.38364,0.14881,1
1784418641.5025,495.60092,5362256261,0.38364,0.14881,1
1784418641.5088,495.60727,5362319533,0.38792,0.14406,1
1784418641.5157,495.61417,5362388679,0.38704,0.14642,1
1784418641.5225,495.62097,5362456555,0.38654,0.14228,1
1784418641.5291,495.62756,5362522684,0.38646,0.16647,1
1784418641.5359,495.63431,5362590060,0.38589,0.16200,1
1784418641.5423,495.64075,5362654358,0.38441,0.15434,1
1784418641.5492,495.64767,5362723573,0.39517,0.12791,1
1784418641.5559,495.65436,5362790497,0.39495,0.12712,1
1784418641.5624,495.66086,5362855462,0.39495,0.12712,1
1784418641.5694,495.66785,5362925436,0.40303,0.12849,1
1784418641.5758,495.67426,5362989445,0.40580,0.12969,1
1784418641.5827,495.68115,5363058554,0.40349,0.11193,1
1784418641.5892,495.68762,5363123268,0.39557,0.08135,1
1784418641.5962,495.69461,5363193016,0.39637,0.06028,1
1784418641.6029,495.70135,5363260446,0.39409,0.05091,1
1784418641.6096,495.70798,5363326686,0.37892,0.06535,1
1784418641.6165,495.71490,5363395990,0.39013,0.09531,1
1784418641.6229,495.72137,5363460695,0.39483,0.12238,1
1784418641.6296,495.72806,5363527458,0.39416,0.13395,1
1784418641.6361,495.73453,5363592159,0.39774,0.13185,1
1784418641.6431,495.74149,5363661661,0.39725,0.12732,1
1784418641.6499,495.74832,5363730043,0.40010,0.12199,1
1784418641.6562,495.75464,5363793230,0.40124,0.11260,1
1784418641.6631,495.76157,5363862720,0.39843,0.09585,1
1784418641.6698,495.76825,5363929281,0.38820,0.07928,1
1784418641.6766,495.77505,5363997547,0.39087,0.07141,1
1784418641.6835,495.78189,5364065783,0.38905,0.05834,1
1784418641.6901,495.78848,5364131666,0.39039,0.06404,1
1784418641.6966,495.79501,5364197148,0.37938,0.05266,1
1784418641.7033,495.80173,5364264105,0.37951,0.05549,1
1784418641.7098,495.80820,5364328980,0.38847,0.07141,1
1784418641.7167,495.81516,5364398450,0.38455,0.08477,1
1784418641.7234,495.82187,5364465541,0.38817,0.10720,1
1784418641.7302,495.82858,5364532727,0.38353,0.11374,1
1784418641.7368,495.83527,5364599589,0.38826,0.12906,1
1784418641.7433,495.84171,5364663901,0.39062,0.14023,1
1784418641.7502,495.84860,5364733072,0.39391,0.14069,1
1784418641.7570,495.85538,5364800566,0.39461,0.14014,1
1784418641.7636,495.86200,5364866993,0.39302,0.13130,1
1784418641.7703,495.86877,5364934532,0.39325,0.11867,1
