plik,wariant,powtorzenie,liczba_fiksacji,score,fix_prog_duration,fix_reg_duration,fix_reg_std,fix_dur_std,sac_prog_pos_x_mean,sac_prog_dist_avg,sac_prog_range,sac_prog_y_stab,sac_reg_y_stab
Subject_1082_T4_Meaningful_Text_raw.csv,mono_r,6,295,0.91,570.9818181818182,373.8378378378378,286.40186409569196,445.74923256026665,859.8325681818183,1.2464957782292132,5.904640711651345,0.31700117496359725,0.6700994561047622
Subject_1082_T4_Meaningful_Text_raw.csv,mono_r,7,297,0.91,567.1780821917808,375.42857142857144,281.39076811167536,444.1424759292895,858.3638812785388,1.2575448334455679,5.904640711651345,0.314460216398526,0.6516352116773942
Subject_1082_T4_Meaningful_Text_raw.csv,mono_r,8,299,0.92,556.4304932735427,386.4,284.14231176178833,439.48594829452304,856.5430605381165,1.2336805168098126,5.904640711651345,0.3127372111339363,0.6609657169421082
Subject_1082_T4_Meaningful_Text_raw.csv,mono_r,9,295,0.93,566.0727272727273,387.8378378378378,292.5314964343769,444.4166612044429,859.7035909090908,1.24712910249526,5.904640711651345,0.3121399138921079,0.6546532280134939
Subject_1082_T4_Meaningful_Text_raw.csv,mono_r,10,300,0.9,558.3214285714286,373.3333333333333,279.64116689468705,438.5747168068654,862.4910825892857,1.2310536974359951,5.904640711651345,0.31069111171738734,0.6465205264385102
Subject_1082_T4_Meaningful_Text_raw.csv,mono_r,11,300,0.91,558.2342342342342,378.7012987012987,279.9164562255064,444.9298729263098,858.9842229729729,1.250056498107314,5.904640711651345,0.3113691730564758,0.6352877912751568
Subject_1082_T4_Meaningful_Text_raw.csv,bino,0,265,0.96,632.6169154228855,415.6190476190476,320.8074846023247,463.39108939442616,844.2867661691541,1.326015010104405,5.819052703670352,0.22522578526478948,0.5417439108501104
Subject_1082_T4_Meaningful_Text_raw.csv,bino,1,264,0.98,631.12,431.4920634920635,329.3040218793277,465.9984607560386,843.69765625,1.3338730885159094,5.819052703670352,0.24911472439977728,0.5439558092042683
Subject_1082_T4_Meaningful_Text_raw.csv,bino,2,261,0.97,639.4747474747475,431.5483870967742,342.76681048252954,475.03938214195523,847.1687436868685,1.3455112805477785,5.819052703670352,0.22805486804548805,0.552805264226104
Subject_1082_T4_Meaningful_Text_raw.csv,bino,3,263,0.97,636.060606060606,429.0625,320.13687868433715,476.7497493115291,849.698529040404,1.3472337352300456,5.819052703670352,0.23387725748440588,0.5417311929729205
Subject_1082_T4_Meaningful_Text_raw.csv,bino,4,261,0.98,636.8484848484849,439.93548387096774,328.7556142519625,462.64037408686653,844.3137310606061,1.3455298945134444,5.819052703670352,0.2265867078852603,0.5492136633401342
Subject_1082_T4_Meaningful_Text_raw.csv,bino,5,261,0.97,640.2828282828283,428.83870967741933,317.7778790870201,467.27424175842077,845.989494949495,1.3446904705294493,5.819052703670352,0.22727007507508448,0.5518351282605543
Subject_1082_T4_Meaningful_Text_raw.csv,bino,6,263,0.97,640.6464646464647,414.75,316.53110036772057,483.1954813026165,849.6335037878788,1.3462355305270162,5.819052703670352,0.23366362313783062,0.5399989248328338
Subject_1082_T4_Meaningful_Text_raw.csv,bino,7,261,0.97,642.6868686868687,422.3225806451613,320.5242064329453,481.93195608853364,845.4143939393939,1.345343684308278,5.819052703670352,0.2267169164136241,0.5509311823040312
Subject_1082_T4_Meaningful_Text_raw.csv,bino,8,262,0.96,643.6969696969697,412.8888888888889,319.50075694130527,482.36754873390646,845.3772601010102,1.345235325851077,5.819052703670352,0.22635974154280325,0.5427638802456
Subject_1082_T4_Meaningful_Text_raw.csv,bino,9,263,0.97,635.52,426.19354838709677,329.10567175936535,480.21839066002116,844.6910750000002,1.329543186521629,5.819052703670352,0.24694954689320314,0.5457296369102287
Subject_1082_T4_Meaningful_Text_raw.csv,bino,10,262,0.97,639.9191919191919,423.93650793650795,319.79794578372145,479.97068554504114,847.0411931818181,1.3437323207397316,5.819052703670352,0.22641587194874707,0.5429209788031772
Subject_1082_T4_Meaningful_Text_raw.csv,bino,11,259,0.98,640.7070707070707,444.73333333333335,343.3610280092305,484.5646284512593,846.6617108585858,1.3426339806413572,5.819052703670352,0.22872407449428497,0.5631303852612
Subject_1090_T4_Meaningful_Text_raw.csv,dup,0,213,0.26,382.49101796407183,307.9111111111111,232.55028820280972,269.56579858097166,886.9622904191616,1.5682128863739002,7.453395982964266,0.30436210497745175,0.6372817233722547
Subject_1090_T4_Meaningful_Text_raw.csv,dup,1,215,0.21,382.8433734939759,296.0833333333333,230.56089518582482,270.48696602338225,886.9690210843374,1.5822972363318726,7.453395982964266,0.30226631022277894,0.6297399892469865
Subject_1090_T4_Meaningful_Text_raw.csv,dup,2,210,0.25,392.0,303.1304347826087,231.92939411884103,279.28910142873593,883.6334509202454,1.6081754578139027,7.453395982964266,0.3033342891204252,0.6409899774779038
Subject_1090_T4_Meaningful_Text_raw.csv,dup,3,209,0.22,398.7073170731707,285.6363636363636,192.74159466511009,276.11741739008045,886.3795426829269,1.5947261854380925,7.453395982964266,0.306151974945222,0.6510397651838509
Subject_1090_T4_Meaningful_Text_raw.csv,dup,4,213,0.23,385.91515151515154,302.1276595744681,229.99996457180825,278.514486367545,887.414803030303,1.5961594296768002,7.453395982964266,0.29941330102694386,0.6350587856404248
Subject_1090_T4_Meaningful_Text_raw.csv,dup,5,214,0.22,382.32335329341316,299.82608695652175,231.7224074233638,273.5484975371782,888.3553293413173,1.5723764395210007,7.453395982964266,0.3009764185152916,0.6489844646655633
Subject_1090_T4_Meaningful_Text_raw.csv,dup,6,215,0.22,382.144578313253,299.6666666666667,227.82717621526675,269.4893874157046,888.8570783132529,1.5866200173875264,7.453395982964266,0.2968686914598682,0.6270962669871328
Subject_1090_T4_Meaningful_Text_raw.csv,dup,7,214,0.18,389.6385542168675,280.51063829787233,187.60141907783668,277.8129910503315,886.785391566265,1.584482257227869,7.453395982964266,0.30225636661150324,0.6401549428544331
Subject_1090_T4_Meaningful_Text_raw.csv,dup,8,214,0.18,389.2048192771084,280.25531914893617,187.72620035970974,266.7025483181836,886.0767469879518,1.5770680685859697,7.453395982964266,0.3028382242090744,0.6411666749970171
Subject_1090_T4_Meaningful_Text_raw.csv,dup,9,214,0.24,383.49397590361446,302.0425531914894,229.98815487045252,272.8600902951627,887.2525903614458,1.5818237405387972,7.453395982964266,0.302548498844793,0.639444186952561
Subject_1090_T4_Meaningful_Text_raw.csv,dup,10,213,0.25,384.0240963855422,305.7391304347826,231.15235280641102,277.5115513925432,884.1853162650604,1.5779770561724276,7.453395982964266,0.3043558853251834,0.6304358380929441
Subject_1090_T4_Meaningful_Text_raw.csv,dup,11,214,0.23,383.03614457831327,301.9574468085106,229.63560008745108,278.1251261848793,884.2828614457833,1.5817462784195437,7.453395982964266,0.30179216912780044,0.6399141787889734
Subject_1090_T4_Meaningful_Text_raw.csv,mono,0,212,0.21,391.87951807228916,285.3333333333333,189.53604172059494,272.3567749977012,886.9078012048193,1.579984036207056,7.453395982964266,0.30510329706756445,0.6362339669898114
Subject_1090_T4_Meaningful_Text_raw.csv,mono,1,213,0.22,388.219512195122,294.6666666666667,231.139688404124,279.59475055261294,882.0332926829266,1.6068115258102393,7.453395982964266,0.3076257203341128,0.6260156922229191
Subject_1090_T4_Meaningful_Text_raw.csv,mono,2,210,0.26,392.02453987730064,303.9130434782609,231.81925362576513,281.4170433542529,881.7410122699384,1.6008712324134022,7.453395982964266,0.30448057053668875,0.6437926106489545
Subject_1090_T4_Meaningful_Text_raw.csv,mono,3,213,0.17,393.6969696969697,276.17021276595744,190.25619000738172,277.35847092826754,884.5181666666666,1.5868929450028948,7.453395982964266,0.3044720637543085,0.6389057196883721
Subject_1090_T4_Meaningful_Text_raw.csv,mono,4,214,0.23,383.95180722891564,301.4468085106383,230.40452940570734,277.98333001632767,885.4989909638556,1.586495486465982,7.453395982964266,0.3038217787072513,0.6347521942281514
Subject_1090_T4_Meaningful_Text_raw.csv,mono,5,211,0.24,389.9024390243902,302.17391304347825,231.91108719280533,280.9044142640978,884.294100609756,1.5938713117431915,7.453395982964266,0.3012077660616839,0.6506508070407698
Subject_1090_T4_Meaningful_Text_raw.csv,mono,6,216,0.27,373.67664670658684,319.25,254.66796192951585,267.5138388533426,886.4559880239523,1.5780970065566,7.453395982964266,0.2986282427871683,0.6265657558008216
Subject_1090_T4_Meaningful_Text_raw.csv,mono,7,218,0.23,373.6470588235294,303.06382978723406,220.45556355017754,260.26763303308786,891.8482352941177,1.5483059916436512,7.453395982964266,0.3033754330556598,0.6150731945230083
Subject_1090_T4_Meaningful_Text_raw.csv,mono,8,213,0.26,383.377245508982,306.75555555555553,233.55314936914667,275.3874583176181,882.9242065868264,1.5612024674401044,7.453395982964266,0.3080896087228286,0.6399909166524992
Subject_1090_T4_Meaningful_Text_raw.csv,mono,9,215,0.23,381.36526946107784,301.78723404255317,229.607336988025,270.3909228157583,883.4192964071857,1.577110532232147,7.453395982964266,0.3009699866249782,0.6349356318678513
Subject_1090_T4_Meaningful_Text_raw.csv,mono,10,213,0.26,384.12048192771084,305.82608695652175,230.7668976664572,268.77606492865726,886.469171686747,1.577752667628786,7.453395982964266,0.3088264728705299,0.6296129095024701
Subject_1090_T4_Meaningful_Text_raw.csv,mono,11,213,0.24,386.1575757575758,301.531914893617,229.47051459075504,273.1822136489297,887.2430454545454,1.591437569776038,7.453395982964266,0.3035419982496366,0.6399629328074571
